epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8166376352310181,0.0005000000237487257,0.44214802980422974,0.9372822046279907,0.3161231577396393
1,0.8231707215309143,0.0005000000237487257,0.44218969345092773,0.9721254110336304,0.2121228724718094
2,0.8188153505325317,0.0005000000237487257,0.439919114112854,0.9425086975097656,0.23498590290546417
3,0.815330982208252,0.0005000000237487257,0.4287399649620056,0.9581881761550903,0.22790402173995972
4,0.8022648096084595,0.0005000000237487257,0.45526427030563354,0.9407665729522705,0.2736474573612213
5,0.8283972144126892,0.0001500000071246177,0.4050677716732025,0.9547038078308105,0.2111913114786148
6,0.8227351903915405,0.0001500000071246177,0.412266343832016,0.9738675951957703,0.14598746597766876
7,0.8205574750900269,0.0001500000071246177,0.41079849004745483,0.9390243887901306,0.23925615847110748
8,0.8344947695732117,0.0001500000071246177,0.39668962359428406,0.9651567935943604,0.2150319516658783
9,0.8427700400352478,0.0001500000071246177,0.3947208821773529,0.9686411023139954,0.14870166778564453
10,0.8314459919929504,4.5000000682193786e-05,0.3941757380962372,0.9668989777565002,0.17257441580295563
11,0.8353658318519592,4.5000000682193786e-05,0.38889455795288086,0.9686411023139954,0.1826791614294052
12,0.8279616832733154,4.5000000682193786e-05,0.4028130769729614,0.9703832864761353,0.17437401413917542
13,0.8410278558731079,1.3500000022759195e-05,0.3860265612602234,0.9651567935943604,0.18835262954235077
14,0.8379790782928467,1.3500000022759195e-05,0.38252291083335876,0.9668989777565002,0.1783188432455063
15,0.8353658318519592,1.3500000022759195e-05,0.3693675398826599,0.9668989777565002,0.18975019454956055
16,0.8353658318519592,4.0499999158782884e-06,0.3935307562351227,0.9668989777565002,0.18300044536590576
17,0.8366724848747253,4.0499999158782884e-06,0.3866703510284424,0.9668989777565002,0.18110036849975586
18,0.842334508895874,4.0499999158782884e-06,0.37706273794174194,0.9668989777565002,0.18301813304424286
19,0.8366724848747253,1.214999997500854e-06,0.38713741302490234,0.9668989777565002,0.18171343207359314
