accuracy,loss,val_accuracy,val_loss
0.5818815231323242,0.9715133905410767,0.8205574750900269,0.72693932056427
0.6123693585395813,0.9136063456535339,0.7822299599647522,0.7230029106140137
0.6071428656578064,0.8822031617164612,0.7787456512451172,0.8771195411682129
0.6428571343421936,0.8653997182846069,0.8275261521339417,0.6637948751449585
0.6393728256225586,0.8389706611633301,0.900696873664856,0.6319411993026733
0.6393728256225586,0.8241491317749023,0.8101045489311218,0.6686131358146667
0.647212564945221,0.8244232535362244,0.8763065934181213,0.6929123401641846
0.661149799823761,0.7930935025215149,0.904181182384491,0.5076726078987122
0.6559233665466309,0.7828487753868103,0.904181182384491,0.41075196862220764
0.6729093790054321,0.7755599617958069,0.9094076752662659,0.4697648286819458
0.6807491183280945,0.7471380829811096,0.891986072063446,0.5913439989089966
0.6668118238449097,0.7628536820411682,0.7264808416366577,0.8912029266357422
0.6977351903915405,0.7272135615348816,0.8989546895027161,0.5302032828330994
0.6994773745536804,0.6939353346824646,0.8240417838096619,0.6823596358299255
0.6894599199295044,0.7061025500297546,0.8728222846984863,0.583604633808136
0.6824913024902344,0.7153761982917786,0.8013937473297119,0.7475483417510986
0.7094947695732117,0.6883848309516907,0.9146341681480408,0.4209073781967163
0.7134146094322205,0.6614443063735962,0.9094076752662659,0.516412615776062
0.7033972144126892,0.6729425191879272,0.9529616832733154,0.3255838453769684
0.7317073345184326,0.6254011988639832,0.8275261521339417,0.6196576952934265
0.7216898798942566,0.6502143144607544,0.9233449697494507,0.4164130985736847
0.733013927936554,0.6367508172988892,0.9616724848747253,0.28457319736480713
0.7334494590759277,0.6339284777641296,0.8397212624549866,0.560508131980896
0.7203832864761353,0.6509921550750732,0.9198606014251709,0.4045603573322296
0.7378048896789551,0.6088926792144775,0.9233449697494507,0.3091682195663452
0.7452090382575989,0.5988407731056213,0.9494773745536804,0.3142869174480438
0.7338849902153015,0.6213161945343018,0.9059233665466309,0.3844223618507385
0.7504355311393738,0.6084640622138977,0.9128919839859009,0.42753851413726807
0.7447735071182251,0.6049485206604004,0.8850173950195312,0.41821935772895813
0.7595818638801575,0.5761898159980774,0.8379790782928467,0.5618140697479248
0.7748258113861084,0.5557259321212769,0.9250870943069458,0.3846319913864136
0.766986072063446,0.5520205497741699,0.9250870943069458,0.3556820750236511
0.7582752704620361,0.5793088674545288,0.9320557713508606,0.291230708360672
0.7661150097846985,0.5734059810638428,0.8815330862998962,0.4256061613559723
0.7835366129875183,0.5319000482559204,0.9372822046279907,0.2906312346458435
0.7691637873649597,0.553311288356781,0.8937281966209412,0.3513003885746002
0.7774389982223511,0.536159098148346,0.9407665729522705,0.2891310751438141
0.7874564528465271,0.5151703953742981,0.9494773745536804,0.2439391016960144
0.7761324048042297,0.5286602973937988,0.9651567935943604,0.28293099999427795
0.7939895391464233,0.5001449584960938,0.9285714030265808,0.3601198196411133
