epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.796167254447937,0.0005000000237487257,0.49094367027282715,0.9216027855873108,0.3153302073478699
1,0.8118466734886169,0.0005000000237487257,0.4711630046367645,0.9268292784690857,0.3222285509109497
2,0.8057491183280945,0.0005000000237487257,0.45829468965530396,0.9581881761550903,0.211166650056839
3,0.8000870943069458,0.0005000000237487257,0.48915010690689087,0.9059233665466309,0.3332326412200928
4,0.8087978959083557,0.0005000000237487257,0.4486894905567169,0.9599303007125854,0.20172250270843506
5,0.8162021040916443,0.0005000000237487257,0.44645631313323975,0.9425086975097656,0.2361101657152176
6,0.803135871887207,0.0005000000237487257,0.4673021137714386,0.9651567935943604,0.2396998107433319
7,0.8092334270477295,0.0005000000237487257,0.4595149755477905,0.9564459919929504,0.24230150878429413
8,0.799651563167572,0.0005000000237487257,0.4732297956943512,0.911149799823761,0.38340845704078674
9,0.8118466734886169,0.0005000000237487257,0.4431705176830292,0.9216027855873108,0.29279494285583496
10,0.8166376352310181,0.0001500000071246177,0.4120955467224121,0.9668989777565002,0.19071604311466217
11,0.8336237072944641,0.0001500000071246177,0.391777366399765,0.9529616832733154,0.2029322236776352
12,0.8244773745536804,0.0001500000071246177,0.41630056500434875,0.9616724848747253,0.1763417273759842
13,0.8127177953720093,0.0001500000071246177,0.4315599203109741,0.9599303007125854,0.220139279961586
14,0.8135888576507568,4.5000000682193786e-05,0.42492055892944336,0.9459930062294006,0.24459737539291382
15,0.8240417838096619,4.5000000682193786e-05,0.3981972336769104,0.9599303007125854,0.21192261576652527
16,0.8358014225959778,4.5000000682193786e-05,0.39383476972579956,0.9564459919929504,0.20930877327919006
17,0.8270906209945679,1.3500000022759195e-05,0.40559232234954834,0.9616724848747253,0.20086808502674103
18,0.8257839679718018,1.3500000022759195e-05,0.41133981943130493,0.9564459919929504,0.21643343567848206
19,0.8379790782928467,1.3500000022759195e-05,0.3949280381202698,0.9616724848747253,0.20082782208919525
