,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.692334,0.9293,0.535533,1.458208,0.00001
1,0.78223,0.632575,0.642132,1.452216,0.00001
2,0.817422,0.527764,0.639594,1.426125,0.00001
3,0.837631,0.466249,0.624366,1.670183,0.00001
4,0.85784,0.409936,0.637056,1.549601,0.00001
