,accuracy,loss,val_accuracy,val_loss
0,0.716028,0.685694,0.591371,1.228927
1,0.781185,0.558328,0.57868,1.255828
2,0.802787,0.512796,0.611675,1.16681
3,0.821951,0.458679,0.629442,1.161768
4,0.837282,0.418265,0.642132,1.294623
5,0.856098,0.392635,0.652284,1.165583
6,0.861324,0.361706,0.639594,1.213442
7,0.867596,0.341171,0.649746,1.285626
8,0.884321,0.318513,0.682741,1.199107
