,accuracy,loss,val_accuracy,val_loss
0,0.667247,0.812975,0.56599,1.125323
1,0.789895,0.546974,0.588832,1.236016
2,0.817422,0.473733,0.616751,1.177023
3,0.828223,0.447846,0.621827,1.184597
